ward,subcounty,county,latitude,longitude
Wundanyi/mbale Ward,Wundanyi Sub County,TAITA TAVETA,-3.3908918137373067,38.378141987273565
Wumingu/kishushe Ward,Wundanyi Sub County,TAITA TAVETA,-3.0230295623437886,38.18077847256254
Nyamosense/komosoko Ward,Kuria West Sub County,Migori,-1.1802710245240895,34.42568611770971
Gokeharaka/getambwega Ward,Kuria East Sub County,Migori,-1.2608975326743712,34.56346843627557
Ntimaru East Ward,Kuria East Sub County,Migori,-1.3146828284332939,34.69720012202191
Nyabasi East Ward,Kuria East Sub County,Migori,-1.2639096378099566,34.66822061256636
Nyabasi West Ward,Kuria East Sub County,Migori,-1.2597182141245449,34.6284176797616
East Kamagambo Ward,Rongo Sub County,Migori,-0.7348691870711177,34.57285103878081
Kivaa Ward,Masinga Sub County,Machakos,-0.9344553489932823,37.76527422287865
Masinga Central Ward,Masinga Sub County,Machakos,-0.9802474945418093,37.636067470004
Ekalakala Ward,Masinga Sub County,Machakos,-0.9867308201895381,37.51301240286361
Muthesya Ward,Masinga Sub County,Machakos,-0.9298021387680808,37.401736725929844
Mananja Ward,Masinga Sub County,Machakos,-0.8672748176489643,37.30517017709996
Ndalani Ward,Yatta Sub County,Machakos,-1.0599464991581566,37.459881083986886
Matuu Ward,Yatta Sub County,Machakos,-1.139798011644615,37.56006634293983
Kithimani Ward,Yatta Sub County,Machakos,-1.1691862996581237,37.45743680879482
Ikombe Ward,Yatta Sub County,Machakos,-1.2773056788117323,37.62250238970306
Katangi Ward,Yatta Sub County,Machakos,-1.4207331119956241,37.72770927953941
Kangundo North Ward,Kangundo Sub County,Machakos,-1.2932165522283658,37.37892718534335
Kangundo Central Ward,Kangundo Sub County,Machakos,-1.3139322982393649,37.34594438523492
Kangundo East Ward,Kangundo Sub County,Machakos,-1.3615178695671952,37.38286924496346
Kangundo West Ward,Kangundo Sub County,Machakos,-1.3607412508189336,37.32361069895201
Tala Ward,Matungulu Sub County,Machakos,-1.26923630988869,37.31620458783882
Matungulu North Ward,Matungulu Sub County,Machakos,-1.1442849626749034,37.28901310859804
Matungulu East Ward,Matungulu Sub County,Machakos,-1.2125608375963606,37.3423767406569
Matungulu West Ward,Matungulu Sub County,Machakos,-1.2673660877032233,37.21002934153946
Kyeleni Ward,Matungulu Sub County,Machakos,-1.1498902984085477,37.210278361931096
Mitamboni Ward,Kathiani Sub County,Machakos,-1.365868834246623,37.25749300459015
Kathiani Central Ward,Kathiani Sub County,Machakos,-1.4141455756285766,37.30548249905078
Upper Kaewa-iveti Ward,Kathiani Sub County,Machakos,-1.4752361218651526,37.31156583067766
Lower Kaewa-kaani Ward,Kathiani Sub County,Machakos,-1.4816469660466987,37.34987573007382
Athi River Ward,Athi River Sub County,Machakos,-1.4627550398947868,36.94935633353178
Kinanie Ward,Athi River Sub County,Machakos,-1.4909729035342023,37.072067304986476
Kibiri Ward,Karachuonyo Sub County,Homa Bay,-0.43291067685996,34.55635609363284
Wang'chieng Ward,Karachuonyo Sub County,Homa Bay,-0.3685338096977856,34.74793340005068
Kendu Bay Town Ward,Karachuonyo Sub County,Homa Bay,-0.3885517855939175,34.665421049990385
West Gem Ward,Rangwe Sub County,Homa Bay,-0.6200646555595205,34.581817045988494
East Gem Ward,Rangwe Sub County,Homa Bay,-0.5924148077352954,34.610920874639824
Homa Bay West Ward,Homa Bay Town Sub County,Homa Bay,-0.5903266272875813,34.446160010667604
Township Ward,Garissa Sub County,GARISSA,-0.3874773705304194,39.74776216908441
Kanyamwa Kologi Ward,Ndhiwa Sub County,Homa Bay,-0.6370549246052877,34.41109289824087
Gembe Ward,Mbita Sub County,Homa Bay,-0.5018348598628065,34.302168142853986
Lambwe Ward,Mbita Sub County,Homa Bay,-0.5487817010294932,34.361971254141416
Gwassi South Ward,Suba Sub County,Homa Bay,-0.7052556740503778,34.1561970575713
Gwassi North Ward,Suba Sub County,Homa Bay,-0.6532453516238622,34.1038567803741
Kaksingiri West Ward,Suba Sub County,Homa Bay,-0.5600324437603192,34.1572435838181
Waberi Ward,Garissa Sub County,GARISSA,-0.4961407377028715,39.81072042501423
Balambala Ward,Balambala Sub County,GARISSA,0.17820142881523268,39.20068728790414
Danyere Ward,Balambala Sub County,GARISSA,0.13208131932937292,38.84328320174517
Jarajara Ward,Balambala Sub County,GARISSA,0.07716020568332149,38.97072852274932
Saka Ward,Balambala Sub County,GARISSA,-0.04375214816048226,39.30331148204149
Sankuri Ward,Garissa Sub County,GARISSA,-0.20331543596984372,39.61831372012695
Modogashe Ward,Lagdera Sub County,GARISSA,0.5626932372447336,39.08434753488071
Benane Ward,Lagdera Sub County,GARISSA,0.43661774810579923,38.78063539420149
Goreale Ward,Lagdera Sub County,GARISSA,0.2964530316174274,39.67632117923819
Changamwe Ward,Changamwe Sub County,Mombasa,-4.017140157433025,39.62320203005687
Ruma-kaksingiri East Ward,Suba Sub County,Homa Bay,-0.6176220026366043,34.26003843172044
Lugaga-wamuluma Ward,Vihiga Sub County,Vihiga,0.0667271162098662,34.69944938873796
Central Maragoli Ward,Vihiga Sub County,Vihiga,0.04570244118123777,34.71819697115574
Lyaduywa/izava Ward,Sabatia Sub County,Vihiga,0.09462427587804802,34.71973126467778
West Sabatia Ward,Sabatia Sub County,Vihiga,0.12818729700780865,34.726292329783384
Nanighi Ward,Fafi Sub County,GARISSA,-0.7541761236704794,40.09992842304589
Hulugho Ward,Hulugho Sub County,GARISSA,-1.3386111362069517,41.15139168376922
Sangailu Ward,Hulugho Sub County,GARISSA,-1.4184358698081354,40.75270191117124
North Maragoli Ward,Sabatia Sub County,Vihiga,0.09264342357586415,34.76329770942831
Wodanga Ward,Sabatia Sub County,Vihiga,0.10323636376583284,34.793953040657094
Luanda Township Ward,Luanda Sub County,Vihiga,0.030646214031547436,34.597833911855616
Wemilabi Ward,Luanda Sub County,Vihiga,0.053438468752895,34.63997968698921
Mwibona Ward,Luanda Sub County,Vihiga,0.017599785498919183,34.562865181420015
Malkagufu Ward,Wajir North Sub County,WAJIR,2.6393326861447695,39.48770322664839
Batalu Ward,Wajir North Sub County,WAJIR,2.8923401817938545,39.74340700858515
Emabungo Ward,Luanda Sub County,Vihiga,0.020129975273784937,34.626139832660314
Godoma Ward,Wajir North Sub County,WAJIR,3.3482829408052592,39.35967220202369
Central Bunyore Ward,Emuhaya Sub County,Vihiga,0.08405871439419269,34.61127466380081
West Bunyore Ward,Emuhaya Sub County,Vihiga,0.07347916809663171,34.579173223655346
Mikinduni Ward,Galole Sub County,TANA RIVER,-1.5451887538074676,39.97822447864613
Khorof/Harar Ward,Wajir East Sub County,WAJIR,1.9556164834848964,40.6863139689113
Elben Ward,Tarbaj Sub County,WAJIR,2.66671293397399,40.28055024102683
Sarman Ward,Tarbaj Sub County,WAJIR,2.626061018902553,39.99719033786804
Tarbaj Ward,Tarbaj Sub County,WAJIR,2.05951281443815,40.09482259287239
Wargadud Ward,Tarbaj Sub County,WAJIR,2.316979674308443,40.44275107188645
Bura Ward,Mwatate Sub County,TAITA TAVETA,-3.551128443132807,38.217077553857195
