ward,subcounty,county,latitude,longitude
Danaba Ward,Wajir North Sub County,WAJIR,3.1106270227089783,39.771435040401876
Lomut Ward,Pokot Central Sub County,WEST POKOT,1.380795015966278,35.59285265700553
Wei wei Ward,Pokot Central Sub County,WEST POKOT,1.4479363751781433,35.475146212308395
Olorropil Ward,Narok North Sub County,Narok,-0.7685841805063793,35.96679274655561
Melili Ward,Narok North Sub County,Narok,-0.868272853781204,36.03997102954796
Mosiro Ward,Narok East Sub County,Narok,-1.2271407477585492,36.089570440472556
Ildamat Ward,Narok East Sub County,Narok,-1.110237500203289,36.008314122341446
Keekonyokie Ward,Narok East Sub County,Narok,-1.15707569426139,36.23834556948057
Suswa Ward,Narok East Sub County,Narok,-1.0060025652603162,36.234473602487874
Maji Moto/naroosura Ward,Narok South Sub County,Narok,-1.4032093829602876,35.82053150224418
Ololulung'a Ward,Narok South Sub County,Narok,-0.95359571460417,35.65865158349331
Melelo Ward,Narok South Sub County,Narok,-0.8761346393437789,35.62567927673058
Loita Ward,Narok South Sub County,Narok,-1.8499499494196496,35.85661743936103
Sogoo Ward,Narok South Sub County,Narok,-0.8182741328447096,35.60377401782377
Sagamian Ward,Narok South Sub County,Narok,-0.7049833006348734,35.52967362132462
Ilmotiook Ward,Narok West Sub County,Narok,-0.9676183052072711,35.50211774811827
Mara Ward,Narok West Sub County,Narok,-1.1763979740754384,35.24765984955583
Siana Ward,Narok West Sub County,Narok,-1.4221826018953085,35.38202386328991
Loosuk Ward,Samburu Central Sub County,SAMBURU,1.0945229531546536,36.519801119501
Porro Ward,Samburu Central Sub County,SAMBURU,1.1920068951783567,36.57444068836657
El-barta Ward,Samburu North Sub County,SAMBURU,1.577421802558514,36.855939022146245
Nachola Ward,Samburu North Sub County,SAMBURU,1.6560836809950215,36.58992435810698
Ndoto Ward,Samburu North Sub County,SAMBURU,1.7315589419767374,37.116987090348566
Nyiro Ward,Samburu North Sub County,SAMBURU,2.122262754244485,36.77145225086561
Angata nayokie Ward,Samburu Central Sub County,SAMBURU,1.316157205530532,36.71638067518012
Baawa Ward,Samburu Central Sub County,SAMBURU,1.0923772528083824,36.89538552191832
Waso Ward,Samburu East Sub County,SAMBURU,1.0464848376745925,37.70837455004017
Wamba west Ward,Samburu East Sub County,SAMBURU,0.842134593380419,37.20877627668143
Wamba east Ward,Samburu East Sub County,SAMBURU,1.0231176796625212,37.420745565984696
Wamba north Ward,Samburu East Sub County,SAMBURU,1.3304357538747347,37.18110202869178
Kapomboi Ward,Kwanza  Sub County,TRANS NZOIA,1.1149138877082219,34.933660850442266
Kwanza Ward,Kwanza  Sub County,TRANS NZOIA,1.1364252051622654,35.03208595230193
Mwawesa Ward,Rabai Sub County,Kilifi,-3.92847631449193,39.618594255352946
Chepchoina Ward,Endebess Sub County,TRANS NZOIA,1.1795446845914324,34.77216034253351
Endebess Ward,Endebess Sub County,TRANS NZOIA,1.0495765722096881,34.80089311623094
Matumbei Ward,Endebess Sub County,TRANS NZOIA,1.1026642051159354,34.746809418823005
Kinyoro Ward,Saboti  Sub County,TRANS NZOIA,0.9954197393478577,34.8316415622045
Matisi Ward,Saboti  Sub County,TRANS NZOIA,0.9966624308210278,34.97466043915077
Mjambere Ward,Kisauni  Sub County,Mombasa,-4.030626874224827,39.68087717540502
Naikarra Ward,Narok West Sub County,Narok,-1.6788309305873872,35.54638397961098
Githiga Ward,Githunguri Sub County,Kiambu,-1.076189339128611,36.724653747615946
Ikinu Ward,Githunguri Sub County,Kiambu,-1.1062655476034997,36.80470196437869
Ngewa Ward,Githunguri Sub County,Kiambu,-1.08086950201333,36.838707781478014
Komothai Ward,Githunguri Sub County,Kiambu,-1.0405592639587458,36.83577958299515
Ting'ang'a Ward,Kiambu Town Sub County,Kiambu,-1.1391448471116248,36.85508160238505
Ndumberi Ward,Kiambu Town Sub County,Kiambu,-1.1612004860572234,36.801729470065226
Riabai Ward,Kiambu Town Sub County,Kiambu,-1.1626608382836474,36.83742222130114
Kiambu Township Ward,Kiambu Town Sub County,Kiambu,-1.1890332443872225,36.843967518138655
Cianda Ward,Kiambaa Sub County,Kiambu,-1.1337169018408255,36.762724454783886
Karuri Ward,Kiambaa Sub County,Kiambu,-1.1729312497328517,36.75266627743399
Ndenderu Ward,Kiambaa Sub County,Kiambu,-1.1984895135390123,36.746501003666594
Muchatha Ward,Kiambaa Sub County,Kiambu,-1.18696857252406,36.781150245268506
Kihara Ward,Kiambaa Sub County,Kiambu,-1.2165198947423823,36.767410676525365
Kiptororo Ward,Kuresoi North  Sub County,Nakuru,-0.34892758714709665,35.50629087917058
Nyota Ward,Kuresoi North  Sub County,Nakuru,-0.3540916280527386,35.632186152774494
Sirikwa Ward,Kuresoi North  Sub County,Nakuru,-0.2672297181937339,35.6773015747872
Gitaru,Kabete Sub County,Kiambu,-1.232920439783962,36.68969331243248
Muguga,Kabete Sub County,Kiambu,-1.2054067732189153,36.67438560264545
Nyadhuna Ward,Kabete Sub County,Kiambu,-1.201900018801377,36.708970836085264
Kabete Ward,Kabete Sub County,Kiambu,-1.2306053349895045,36.725152908027106
Kiminini Ward,Kiminini  Sub County,TRANS NZOIA,0.8923203481092219,34.93994793820751
Waitaluk Ward,Kiminini  Sub County,TRANS NZOIA,0.9283847983598054,35.0344677579276
Sirende Ward,Kiminini  Sub County,TRANS NZOIA,0.958637116356306,35.077003917664435
Subukia Ward,Subukia  Sub County,Nakuru,-0.017091683938271634,36.20261636648914
Ibrahim ure Ward,Wajir South Sub County,WAJIR,1.5721161538742965,40.45191804576748
Menengai West Ward,Rongai  Sub County,Nakuru,-0.20723614549046177,35.99841401930215
Kinale Ward,Lari Sub County,Kiambu,-0.8781683887748236,36.651384602481365
Nyanduma Ward,Lari Sub County,Kiambu,-0.9914153061881559,36.7355335486143
Kamburu Ward,Lari Sub County,Kiambu,-1.0292974357111015,36.74226160180378
Lari/kirenga Ward,Lari Sub County,Kiambu,-1.0303215639848329,36.63907754505248
Kiamwangi Ward,Gatundu South Sub County,Kiambu,-1.0324298685194606,36.87284323877876
Kiganjo Ward,Gatundu South Sub County,Kiambu,-0.978771733328168,36.801061593780425
Ndarugu Ward,Gatundu South Sub County,Kiambu,-0.9433530949474835,36.80424828595367
Ngenda Ward,Gatundu South Sub County,Kiambu,-1.0129256144774177,36.90380917028559
Gituamba Ward,Gatundu North Sub County,Kiambu,-0.9007911038646156,36.85003933016519
Githobokoni Ward,Gatundu North Sub County,Kiambu,-0.8782073376273904,36.74543708959179
Chania Ward,Gatundu North Sub County,Kiambu,-0.9602602043008158,36.927037701405645
Mang'u Ward,Gatundu North Sub County,Kiambu,-0.9926378082895546,36.94176813946876
Murera Ward,Juja Sub County,Kiambu,-1.0959724466446263,36.939836883547756
Theta Ward,Juja Sub County,Kiambu,-1.1555252017090651,37.01573436851562
Visoi Ward,Rongai  Sub County,Nakuru,-0.1562245549681183,35.87534171966926
Juja Ward,Juja Sub County,Kiambu,-1.0768739584617353,36.98601710004707
Witeithie Ward,Juja Sub County,Kiambu,-1.0676990801092743,37.034318101888495
Kalimoni Ward,Juja Sub County,Kiambu,-1.1485742480055012,37.100825080810054
Thika Township Ward,Thika Town Sub County,Kiambu,-1.0305446956234892,37.03322073859749
Kamenu Ward,Thika Town Sub County,Kiambu,-1.0764570263839157,37.1282494357881
Hospital Ward,Thika Town Sub County,Kiambu,-1.049248191334723,37.11712261885067
Dundori Ward,Nakuru North  Sub County,Nakuru,-0.24536664031958574,36.200902096096605
Rurumaward,Rabai Sub County,Kilifi,-3.8798029731361305,39.585605572126234
Makutano Ward,Cherangany Sub County,TRANS NZOIA,1.0917745593772084,35.174763830388706
Kaplamai Ward,Cherangany Sub County,TRANS NZOIA,0.974492461247319,35.10691418422175
Motosiet Ward,Cherangany Sub County,TRANS NZOIA,0.9651764446965752,35.174619199593614
Cherangany/suwerwa Ward,Cherangany Sub County,TRANS NZOIA,1.0313447861252543,35.23691819086539
Chepsiro/kiptoror Ward,Cherangany Sub County,TRANS NZOIA,0.9661563161883322,35.30269698413372
Magogoni Ward,Kisauni  Sub County,Mombasa,-4.019588541091615,39.68627876395786
North Uyoma Ward,Rarieda Sub County,Siaya,-0.2576719948171511,34.35097590281543
South Uyoma Ward,Rarieda Sub County,Siaya,-0.33816890505793035,34.32361287599752
West Uyoma Ward,Rarieda Sub County,Siaya,-0.27259703512565153,34.29020165278927
Ukunda Ward,Msambweni Sub County,Kwale,-4.311105009613241,39.55973404409543
Kinondo Ward,Msambweni Sub County,Kwale,-4.379430097500507,39.494527561927875
Ramisi Ward,Msambweni Sub County,Kwale,-4.463897983921065,39.41398110581629
Pongwe Kikoneni Ward,Lunga Lunga Sub County,Kwale,-4.5359910516013455,39.32908026875977
Dzombo Ward,Lunga Lunga Sub County,Kwale,-4.4533955202629585,39.21945276299404
Mwereni Ward,Lunga Lunga Sub County,Kwale,-4.278036323486854,38.85981474518449
Vanga Ward,Lunga Lunga Sub County,Kwale,-4.57302286293587,39.14917945564031
Kabatini Ward,Nakuru North  Sub County,Nakuru,-0.2091800753474133,36.15826285040909
Tsimba Golini Ward,Matuga Sub County,Kwale,-4.16449380104912,39.50618675397284
Waa Ngombeni Ward,Matuga Sub County,Kwale,-4.155198347410643,39.594647773057744
Kamara Ward,Kuresoi North  Sub County,Nakuru,-0.14494938350363634,35.67042248372232
Tiwi Ward,Matuga Sub County,Kwale,-4.230207551538617,39.56381491200205
Kubo South Ward,Matuga Sub County,Kwale,-4.304644441602873,39.37271185703613
Waseges Ward,Subukia  Sub County,Nakuru,0.10081439195555181,36.235924799067426
Kabazi Ward,Subukia  Sub County,Nakuru,-0.10482837840723382,36.13078880236075
Kapyego Ward,Marakwet East sub-county,ELGEYO-MARAKWET,1.1210121513922278,35.50593635093718
Sambirir Ward,Marakwet East sub-county,ELGEYO-MARAKWET,1.0657929522939988,35.61680835436691
Mkongani Ward,Matuga Sub County,Kwale,-4.257804772465522,39.28439756730166
Ndavaya Ward,Kinango Sub County,Kwale,-4.189687860099118,39.1058756655836
Puma Ward,Kinango Sub County,Kwale,-4.057815204163251,39.05215140178224
Kinango Ward,Kinango Sub County,Kwale,-4.087540662726905,39.425927312314684
Mackinon Road Ward,Kinango Sub County,Kwale,-3.8014844493511712,39.120539266443785
Chengoni/samburu Ward,Kinango Sub County,Kwale,-3.7783610598949937,39.26609268963538
Mwavumbo Ward,Kinango Sub County,Kwale,-3.900769179936324,39.40810495984454
Kiamaina Ward,Nakuru North  Sub County,Nakuru,-0.2313733201347104,36.08833576000757
Kasemeni Ward,Kinango Sub County,Kwale,-3.999919120756798,39.43679080118352
Gatuanyaga Ward,Thika Town Sub County,Kiambu,-1.0818329175552026,37.179491662229445
Ngoliba Ward,Thika Town Sub County,Kiambu,-1.0654038606290397,37.29093506774947
Gitothua,Ruiru Sub County,Kiambu,-1.1315136496443245,36.91335708936767
Mahoo Ward,Taveta Sub County,TAITA TAVETA,-3.361298625155858,37.70393128828558
Kimulot Ward,Konoin Sub County,Bomet,-0.5336827892087292,35.256024391485404
Mogogosiek Ward,Konoin Sub County,Bomet,-0.6240848005917896,35.28698110378501
Boito Ward,Konoin Sub County,Bomet,-0.52314620474765,35.41723660581196
Embomos Ward,Konoin Sub County,Bomet,-0.6030675930406287,35.36196257338116
BOMBABA BORABU,Bomachoge Borabu Sub County,Kisii,-0.8978083682942496,34.77590242557329
Soin Ward,Rongai  Sub County,Nakuru,-0.05205744473750553,35.98634283747641
Kemeloi-maraba Ward,Aldai Sub County,NANDI,0.01742170845455403,34.890882856985186
Kobujoi Ward,Aldai Sub County,NANDI,0.038996106048918865,34.96976383244298
Kaptumo/kaboi Ward,Aldai Sub County,NANDI,0.0927545690328229,35.062979751205084
Koyo/ndurio Ward,Aldai Sub County,NANDI,0.020731454039908417,35.04706837051101
Nandi hills Ward,Nandi East Sub County,NANDI,0.10810342770042325,35.16539187642319
Chepkunyuk Ward,Nandi East Sub County,NANDI,0.1293435412694334,35.241236345282616
Mwanda/mgange Ward,Wundanyi Sub County,TAITA TAVETA,-3.374868290866534,38.274474366498985
Ronge Ward,Mwatate Sub County,TAITA TAVETA,-3.4168887428464414,38.452328619077925
Igambang`ombe Ward,Igambang'ombe Sub County,THARAKA-NITHI,-0.36041769103651866,37.80850230141812
Lelmoko/ngechek Ward,Chesumei Sub County,NANDI,0.34116664288951043,35.18096662756063
Mwatate Ward,Mwatate Sub County,TAITA TAVETA,-3.5716451369732773,38.446845793787766
Wusi/kishamba Ward,Mwatate Sub County,TAITA TAVETA,-3.446352036724575,38.364899948871596
Muminji Ward,Mbeere North  Sub County,EMBU,-0.6137947049349383,37.77226466619115
Evurore Ward,Mbeere North  Sub County,EMBU,-0.4938860017970217,37.813553243942515
Lanet/umoja Ward,Nakuru North  Sub County,Nakuru,-0.2945107533586029,36.17765899252167
Chepkumia Ward,Emgwen Sub County,NANDI,0.12438034040708355,34.9613089131122
Bahati Ward,Nakuru North  Sub County,Nakuru,-0.16111876765300903,36.14230423969036
Kaptembwo Ward,Nakuru West  Sub County,Nakuru,-0.306164214083268,36.052169926656276
Iriaini Ward,Mathira East Sub County,NYERI,-0.461491617708771,37.16329188350517
Konyu Ward,Mathira East Sub County,NYERI,-0.5225402442717578,37.12461900391405
Kapsabet Ward,Emgwen Sub County,NANDI,0.1640631088293489,35.07933204526891
Kilibwoni Ward,Emgwen Sub County,NANDI,0.2155740275771367,35.20034452252002
Frere Town Ward,Nyali  Sub County,Mombasa,-4.02473272957872,39.69143674445867
Kirimukuyu Ward,Mathira West Sub County,NYERI,-0.4703654688562863,37.07767765710018
Kapkures Ward,Nakuru West  Sub County,Nakuru,-0.3148330073588846,36.023250826127544
Suguta Marmar Ward,Samburu Central Sub County,SAMBURU,0.8978281004384271,36.57717400792653
Rhoda Ward,Nakuru West  Sub County,Nakuru,-0.31254261301203395,36.064782310923306
Shaabab Ward,Nakuru West  Sub County,Nakuru,-0.29314515473976394,36.05582667901154
Soy North Ward,Keiyo South Sub County,ELGEYO-MARAKWET,0.4672838050084537,35.59548405742191
Soy South Ward,Keiyo South Sub County,ELGEYO-MARAKWET,0.28619627106611767,35.65797807421707
Biashara Ward,Nakuru East  Sub County,Nakuru,-0.29112094783195547,36.07909859582652
Kabwareng Ward,Aldai Sub County,NANDI,0.10729514865897571,34.893382606382836
Ndalat Ward,Mosop Sub County,NANDI,0.5101195745736266,35.10680299857712
Kivumbini Ward,Nakuru East  Sub County,Nakuru,-0.2977977616348012,36.08815866441705
Flamingo Ward,Nakuru East  Sub County,Nakuru,-0.3066782182014787,36.07386212809436
Menengai Ward,Nakuru East  Sub County,Nakuru,-0.28217833079744514,36.115462325219006
Tirioko Ward,Tiaty Sub County,BARINGO,1.3670371733670157,35.852846489346604
Kolowa Ward,Tiaty Sub County,BARINGO,1.1113905008293161,35.781342674566766
Ribkwo Ward,Tiaty Sub County,BARINGO,1.0401851631777868,35.95584601198918
Silale Ward,Tiaty Sub County,BARINGO,1.0507687105374124,36.1534269196053
Loiyamorok Ward,Tiaty Sub County,BARINGO,0.8754114279688145,36.0986245691667
Kongowea Ward,Nyali  Sub County,Mombasa,-4.038979083506989,39.69061368822368
Marmanet Ward,Laikipia West Sub County,LAIKIPIA,0.2637580697473484,36.37495898586738
Igwamiti Ward,Laikipia West Sub County,LAIKIPIA,0.10013221112692239,36.34489685617292
Salama Ward,Laikipia West Sub County,LAIKIPIA,0.20255239474371184,36.64041298746914
Ngobit Ward,Laikipia East Sub County,LAIKIPIA,-0.04268441036419092,36.701920309691445
Tigithi Ward,Laikipia East Sub County,LAIKIPIA,-0.11941032139404592,36.91546159825503
Thingithu Ward,Laikipia East Sub County,LAIKIPIA,0.022897823421622214,37.02411642393828
Nanyuki Ward,Laikipia East Sub County,LAIKIPIA,0.022656550729985767,37.08957908402541
Tudor Ward,Mvita  Sub County,Mombasa,-4.037122834708146,39.66362893371542
Mosop Ward,Rongai  Sub County,Nakuru,-0.26312117705483323,35.91302398217761
Solai Ward,Rongai  Sub County,Nakuru,0.07312258929770937,36.15855864270999
Werugha Ward,Wundanyi Sub County,TAITA TAVETA,-3.357701234021602,38.32213993313877
Barut Ward,Nakuru West  Sub County,Nakuru,-0.3852563938130328,36.095295979284074
London Ward,Nakuru West  Sub County,Nakuru,-0.27076390075560997,36.06259772268711
Chaani Ward,Changamwe Sub County,Mombasa,-4.02890251353378,39.62453215661488
Olkeri Ward,Kajiado North Sub County,KAJIADO,-1.3987467585692135,36.69052377283681
Ongata rongai Ward,Kajiado North Sub County,KAJIADO,-1.4004684797310305,36.76993713621474
Nkaimurunya Ward,Kajiado North Sub County,KAJIADO,-1.3858891501058836,36.73720942306003
Oloolua Ward,Kajiado North Sub County,KAJIADO,-1.3480451593558012,36.67769332516274
Ngong Ward,Kajiado North Sub County,KAJIADO,-1.3476807671342494,36.65744407832427
Purko Ward,Kajiado Central Sub County,KAJIADO,-2.035714213679942,36.742211258526424
Ildamat Ward,Kajiado Central Sub County,KAJIADO,-1.857541089699316,36.73153465783788
Dalalekutuk Ward,Kajiado Central Sub County,KAJIADO,-1.9500926964856509,36.92097909183005
Matapato north Ward,Kajiado Central Sub County,KAJIADO,-2.199053364294037,36.82966140060995
Matapato south Ward,Kajiado Central Sub County,KAJIADO,-2.4098399105169896,36.77852607568568
Kaputiei north Ward,Kajiado East Sub County,KAJIADO,-1.686811884609902,36.875364749682696
Kitengela Ward,Kajiado East Sub County,KAJIADO,-1.550369857373263,36.8819264159906
Oloosirkon/sholinke Ward,Kajiado East Sub County,KAJIADO,-1.4724766878213795,36.83545744091933
Kenyawa-poka Ward,Kajiado East Sub County,KAJIADO,-2.2059717096863047,37.44267130705237
Imaroro Ward,Kajiado East Sub County,KAJIADO,-1.9452233477066718,37.125498984084544
Keekonyokie Ward,Kajiado West Sub County,KAJIADO,-1.5787939679598009,36.53449881467317
Manyatta B Ward,Kisumu East Sub County,Kisumu,-0.09967985423771553,34.783091411255334
Chilchila Ward,Kipkelion West Sub County,KERICHO,-0.1676114623666375,35.36681482632861
Kapsoit Ward,Ainamoi Sub County,KERICHO,-0.2975744192537323,35.21816345721711
Ainamoi Ward,Ainamoi Sub County,KERICHO,-0.27124560905527856,35.27855742468817
Kapkugerwet Ward,Ainamoi Sub County,KERICHO,-0.3485878487876478,35.298843382320925
Kipchebor Ward,Ainamoi Sub County,KERICHO,-0.38122174969868844,35.263310187047246
Kipchimchim Ward,Ainamoi Sub County,KERICHO,-0.32873204171156706,35.275032234143445
Kapsaos Ward,Ainamoi Sub County,KERICHO,-0.2877685213962543,35.34233928337767
Kisiara Ward,Bureti Sub County,KERICHO,-0.49216857119833485,35.10712117419695
Tebesonik Ward,Bureti Sub County,KERICHO,-0.5497083896869451,35.082767127665484
Cheboin Ward,Bureti Sub County,KERICHO,-0.5676348121077083,35.12925368527902
Chemosot Ward,Bureti Sub County,KERICHO,-0.5160621990359854,35.1692525473601
Litein Ward,Bureti Sub County,KERICHO,-0.5967011981646787,35.162187838490354
Cheplanget Ward,Bureti Sub County,KERICHO,-0.6382724794387503,35.11233433396406
Waldai Ward,Belgut Sub County,KERICHO,-0.35898901409534945,35.17165106679393
Kabianga Ward,Belgut Sub County,KERICHO,-0.43259584224454334,35.131125957285796
Kadzandani Ward,Nyali  Sub County,Mombasa,-4.013107531699371,39.70832132791484
Nakuru East Ward,Nakuru East  Sub County,Nakuru,-0.3443353787730334,36.145077652455655
Port Reitz Ward,Changamwe Sub County,Mombasa,-4.021440295794889,39.61232004588228
Sigowet Ward,Sigowet/Soin Sub County,KERICHO,-0.4337206338253399,35.06689832495322
Kaplelartet Ward,Sigowet/Soin Sub County,KERICHO,-0.3575187332225854,35.064794857993505
Soliat Ward,Sigowet/Soin Sub County,KERICHO,-0.29740593431692675,35.11903996458568
Soin Ward,Sigowet/Soin Sub County,KERICHO,-0.22158083152072258,35.159530272228444
Shika Adabu Ward,Likoni  Sub County,Mombasa,-4.109459784704991,39.643572125861404
Junda Ward,Kisauni  Sub County,Mombasa,-4.011645162820469,39.6744669609355
Bamburi Ward,Kisauni  Sub County,Mombasa,-3.972309355728682,39.70758049263459
Mwakirunge Ward,Kisauni  Sub County,Mombasa,-3.9576400354132737,39.664345583727126
Mtopanga Ward,Kisauni  Sub County,Mombasa,-3.9934180965123414,39.689612915277394
Nyalenda A Ward,Kisumu East Sub County,Kisumu,-0.11665601860910164,34.773752425814116
Shanzu Ward,Kisauni  Sub County,Mombasa,-3.9805201709939153,39.73116198575023
Ziwa La Ng'ombe Ward,Nyali  Sub County,Mombasa,-4.027600207723087,39.71153276276491
Mkomani Ward,Nyali  Sub County,Mombasa,-4.04986568142335,39.69512756129061
Mtongwe Ward,Likoni  Sub County,Mombasa,-4.082379641699984,39.617274604844305
Mbololo Ward,Voi Sub County,TAITA TAVETA,-3.3638619755381614,38.509252574668956
Bofu Ward,Likoni  Sub County,Mombasa,-4.082464490845242,39.6526652201396
Sokoni Ward,Kilifi North Sub County,Kilifi,-3.6171103381435117,39.86626921074539
Dabaso Ward,Kilifi North Sub County,Kilifi,-3.311908329400998,39.990411155676256
Watamu Ward,Kilifi North Sub County,Kilifi,-3.3093990247188634,40.05684548761292
Mwarakaya Ward,Kilifi South Sub County,Kilifi,-3.7948608425699404,39.724121427132985
Chasimba Ward,Kilifi South Sub County,Kilifi,-3.728724975999546,39.7237792250522
Mtepeni Ward,Kilifi South Sub County,Kilifi,-3.8975479459107745,39.750172272224
Mariakani Ward,Kaloleni Sub County,Kilifi,-3.8324213087632657,39.466024786333186
Kayafungo Ward,Kaloleni Sub County,Kilifi,-3.758813430553469,39.476509117661806
Kaloleni Ward,Kaloleni Sub County,Kilifi,-3.792986527816661,39.63343523341096
Mwanamwinga Ward,Kaloleni Sub County,Kilifi,-3.704053794841952,39.55919639118829
Kambe/ribe Ward,Rabai Sub County,Kilifi,-3.885380046436432,39.65708720939803
Shauri Moyo Kaloleni Ward,Kisumu Central Sub County,Kisumu,-0.09871004162400435,34.77019161108523
Bamba Ward,Ganze Sub County,Kilifi,-3.4887719209269323,39.35083368911229
Jaribuni Ward,Ganze Sub County,Kilifi,-3.6199376165994535,39.68839235021013
Jilore Ward,Malindi Sub County,Kilifi,-3.2254385872692097,39.85480653143926
Kakuyuni Ward,Malindi Sub County,Kilifi,-3.19626334842769,40.0034406117362
Shella Ward,Malindi Sub County,Kilifi,-3.2450206616361696,40.11685851875282
Marafa Ward,Magarini Sub County,Kilifi,-2.9691528471953097,39.846538858367005
Magarini Ward,Magarini Sub County,Kilifi,-3.0873054086970764,40.080172981169916
West Ugenya Ward,Ugenya Sub County,Siaya,0.2086444896567832,34.14707851301338
Ukwala Ward,Ugenya Sub County,Siaya,0.1968673484627964,34.20255188787905
North Ugenya Ward,Ugenya Sub County,Siaya,0.26412737885221776,34.23404343504502
East Ugenya Ward,Ugenya Sub County,Siaya,0.26761115375512107,34.31587068770471
Sidindi Ward,Ugunja Sub County,Siaya,0.16545083189613213,34.3881210725445
Sigomere Ward,Ugunja Sub County,Siaya,0.21604782674779782,34.3604803461405
Ugunja Ward,Ugunja Sub County,Siaya,0.18926352477896563,34.28099865556305
Usonga Ward,Alego Usonga Sub County,Siaya,0.06750735239769622,34.096204396487416
West Alego Ward,Alego Usonga Sub County,Siaya,0.11145977134594126,34.17104212395762
Central Alego Ward,Alego Usonga Sub County,Siaya,0.08009200766161029,34.22524883764539
Siaya Township Ward,Alego Usonga Sub County,Siaya,0.04948548965065199,34.27675482278707
Gombato Bongwe Ward,Msambweni Sub County,Kwale,-4.284419929387302,39.533379364420924
Sagala Ward,Voi Sub County,TAITA TAVETA,-3.3276489029573866,38.83309873558959
South West Kisumu Ward,Kisumu West Sub County,Kisumu,-0.10819655094690525,34.63289930943986
Nyakoe Ward,Kitutu Chache South Sub County,Kisii,-0.6283394266072715,34.76276919960602
Kisii Central Ward,Kitutu Chache South Sub County,Kisii,-0.6641608770560903,34.76473793543885
Parklands/highridge Ward,Westlands  Sub County,Nairobi,-1.2587413035158275,36.804854903943955
Kilimani Ward,Dagoretti North Sub County,Nairobi,-1.2866220626735896,36.784816061284445
Kileleshwa Ward,Dagoretti North Sub County,Nairobi,-1.271768134737318,36.78547180708992
Mogotio Ward,Mogotio Sub County,BARINGO,0.08066610767093096,35.86196843613309
Emining Ward,Mogotio Sub County,BARINGO,0.24055772383426532,35.946771884979036
Kisanana Ward,Mogotio Sub County,BARINGO,0.14872489551524481,36.07699352004289
Lembus Ward,Koibatek Sub County,BARINGO,0.09699857427933573,35.600680419330274
Lembus kwen Ward,Koibatek Sub County,BARINGO,0.10137481200483119,35.69119967817102
Ravine Ward,Koibatek Sub County,BARINGO,0.0182994527067893,35.72760227733109
Mumberes/Maji Mazuri Ward,Koibatek Sub County,BARINGO,-0.04593692754547687,35.668298247021546
Lembus/Perkerra Ward,Koibatek Sub County,BARINGO,0.07401829646270568,35.792514407828804
Koibatek Ward,Koibatek Sub County,BARINGO,-0.06611381890684158,35.78767358674609
Ol-Moran Ward,Laikipia West Sub County,LAIKIPIA,0.5619948025953662,36.38308239147236
Rumuruti Township Ward,Laikipia West Sub County,LAIKIPIA,0.290855231660654,36.48267527904353
Woodley/kenyatta Golf Course Ward,Kibra  Sub County,Nairobi,-1.3040212825863207,36.788613447598806
Kedowa/kimugul Ward,Kipkelion East Sub County,KERICHO,-0.2234911412912105,35.57777994870598
Chepseon Ward,Kipkelion East Sub County,KERICHO,-0.29717216086662446,35.40330065558674
Tendeno/sorget Ward,Kipkelion East Sub County,KERICHO,-0.044330386524395554,35.517491024856845
Kunyak Ward,Kipkelion West Sub County,KERICHO,-0.1287438105559475,35.2952350718398
Kamasian Ward,Kipkelion West Sub County,KERICHO,-0.13154866393811918,35.43243970941465
Kipkelion Ward,Kipkelion West Sub County,KERICHO,-0.16033762526340603,35.47006647884768
Likoni Ward,Likoni  Sub County,Mombasa,-4.093570762329363,39.64389489447843
Zimmerman Ward,Roysambu  Sub County,Nairobi,-1.2036826996385148,36.879533763057985
Roysambu Ward,Roysambu  Sub County,Nairobi,-1.2258841473857998,36.862871856436826
Mwiki Ward,Kasarani  Sub County,Nairobi,-1.235856793498028,36.96028308047542
Kasarani Ward,Kasarani  Sub County,Nairobi,-1.2287444070386917,36.89186347127926
Market Milimani Ward,Kisumu Central Sub County,Kisumu,-0.1097120002405304,34.75509550121498
Lucky Summer Ward,Ruaraka  Sub County,Nairobi,-1.239345709233198,36.898311563688765
Korogocho Ward,Ruaraka  Sub County,Nairobi,-1.2499482720696657,36.890695815416926
Kibarani Ward,Kilifi North Sub County,Kilifi,-3.5731607669803993,39.81812738524724
Matsangoni Ward,Kilifi North Sub County,Kilifi,-3.427291105137714,39.926018786417416
Pipeline Ward,Embakasi South Sub County,Nairobi,-1.337862587574065,36.90392210033526
Kondele Ward,Kisumu Central Sub County,Kisumu,-0.08950912888673387,34.778701227754205
Timbwani Ward,Likoni  Sub County,Mombasa,-4.095521346045562,39.66180081731216
Nyalenda B Ward,Kisumu Central Sub County,Kisumu,-0.13251285464883356,34.74903807495743
West Seme Ward,Seme Sub County,Kisumu,-0.13615795254023597,34.46478400316729
Central Seme Ward,Seme Sub County,Kisumu,-0.11673148706107833,34.50219279586508
East Seme Ward,Seme Sub County,Kisumu,-0.09825954767590431,34.56612009911556
North Seme Ward,Seme Sub County,Kisumu,-0.05612783190092812,34.51028786870827
East Kano/wawidhi Ward,Nyando Sub County,Kisumu,-0.2290319364563282,35.001995819193795
Kabonyo Kanyagwal,Nyando Sub County,Kisumu,-0.22775505456114087,34.84225596503979
Kobura Ward,Nyando Sub County,Kisumu,-0.16417322683442587,34.85836451339967
Miwani Ward,Muhoroni Sub County,Kisumu,-0.05766909652242393,34.9318071709979
