Ward,Latitude,Longitude,Irradiance_kWh/m2/day,Ambient_Temperature_C
Kangundo North Ward,-1.2932165522283658,37.37892718534335,5.57,18.5
Kangundo Central Ward,-1.3139322982393649,37.34594438523492,5.65,17.7
Kangundo East Ward,-1.3615178695671952,37.38286924496346,5.56,19.6
Kangundo West Ward,-1.3607412508189336,37.32361069895201,5.67,19.7
Tala Ward,-1.26923630988869,37.31620458783882,5.63,19.3
Matungulu North Ward,-1.1442849626749034,37.28901310859804,5.45,19.8
Matungulu East Ward,-1.2125608375963606,37.3423767406569,5.54,19.0
Matungulu West Ward,-1.2673660877032231,37.21002934153946,5.63,19.6
Kyeleni Ward,-1.1498902984085475,37.210278361931096,5.58,19.1
Mitamboni Ward,-1.365868834246623,37.25749300459015,5.66,19.6
Kathiani Central Ward,-1.4141455756285766,37.30548249905078,5.44,17.3
Upper Kaewa-iveti Ward,-1.4752361218651526,37.31156583067766,5.43,16.9
Lower Kaewa-kaani Ward,-1.4816469660466989,37.34987573007382,5.22,19.3
Athi River Ward,-1.4627550398947868,36.94935633353178,5.48,20.3
Kinanie Ward,-1.4909729035342023,37.07206730498648,5.47,18.8
Kibiri Ward,-0.43291067685996,34.55635609363284,6.23,23.7
Wang'chieng Ward,-0.3685338096977856,34.74793340005068,6.27,23.6
Kendu Bay Town Ward,-0.3885517855939175,34.665421049990385,6.28,23.4
West Gem Ward,-0.6200646555595205,34.581817045988494,6.02,22.4
East Gem Ward,-0.5924148077352954,34.610920874639824,6.04,22.4
Homa Bay West Ward,-0.5903266272875813,34.446160010667604,6.04,23.0
Township Ward,-0.3874773705304194,39.74776216908441,5.58,27.8
Kanyamwa Kologi Ward,-0.6370549246052877,34.41109289824087,5.97,22.3
Gembe Ward,-0.5018348598628065,34.302168142853986,6.14,23.8
Lambwe Ward,-0.5487817010294932,34.361971254141416,6.05,22.3
Gwassi South Ward,-0.7052556740503778,34.1561970575713,5.86,22.5
Gwassi North Ward,-0.6532453516238622,34.1038567803741,5.9,19.6
Kaksingiri West Ward,-0.5600324437603192,34.1572435838181,5.86,22.3
Waberi Ward,-0.4961407377028715,39.81072042501423,5.64,27.9
Balambala Ward,0.1782014288152326,39.20068728790414,5.77,27.6
Danyere Ward,0.1320813193293729,38.84328320174517,5.84,27.4
Jarajara Ward,0.0771602056833214,38.97072852274932,5.89,27.8
Saka Ward,-0.0437521481604822,39.30331148204149,5.66,27.9
Sankuri Ward,-0.2033154359698437,39.61831372012695,5.65,27.9
Modogashe Ward,0.5626932372447336,39.08434753488071,6.0,27.8
Benane Ward,0.4366177481057992,38.78063539420149,6.06,27.1
Goreale Ward,0.2964530316174274,39.67632117923819,5.7,28.5
Changamwe Ward,-4.017140157433025,39.62320203005687,5.56,26.1
Ruma-kaksingiri East Ward,-0.6176220026366043,34.26003843172044,5.78,23.3
Lugaga-wamuluma Ward,0.0667271162098662,34.69944938873796,5.97,20.8
Central Maragoli Ward,0.0457024411812377,34.71819697115574,5.95,20.3
